Initial error before optimization: 2471694.3100011465
Initial error: 2.47169e+06, values: 1228
iter      cost      cost_change    lambda  success iter_time
  95  4.576046e+05   -2.34e+05    1.00e+03     1    6.56e-03
  95  2.224927e+05    1.36e+03    1.00e+04     1    6.40e-03
  96  4.557142e+05   -2.33e+05    1.00e+03     1    6.82e-03
  96  2.211338e+05    1.36e+03    1.00e+04     1    6.29e-03
  97  4.536963e+05   -2.33e+05    1.00e+03     1    6.95e-03
  97  2.197749e+05    1.36e+03    1.00e+04     1    6.57e-03
  98  4.515515e+05   -2.32e+05    1.00e+03     1    6.20e-03
  98  2.184144e+05    1.36e+03    1.00e+04     1    6.92e-03
  99  4.492784e+05   -2.31e+05    1.00e+03     1    6.19e-03
  99  2.170508e+05    1.36e+03    1.00e+04     1    6.59e-03
iterations: 100 >? 100
Terminating because reached maximum iterations
Optimization Runtime: 1.6421 seconds
Error after optimizing:
217050.84424488991
